"ginc" "height" "age" "length" "mar" "sex" "german" "alevel"
3590 180 63 32 1 0 1 0
10093 176 57 21.2 0 0 1 1
2448 186 28 1.3 1 0 1 0
2495 178 47 27.6 1 0 1 1
3520 168 45 12.1 1 0 1 1
1680 168 41 12.1 1 1 1 0
1819 175 25 2.9 0 0 1 0
2734 174 30 0.6 0 0 1 0
2404 183 50 9.8 1 0 1 0
1223 163 39 0.4 1 1 1 0
3567 178 40 5.9 0 0 1 1
971 168 28 2.8 1 1 1 0
3016 176 49 25.8 1 0 1 0
2796 171 36 1.4 0 0 1 1
705 176 64 8.5 1 0 1 0
3497 183 48 6.4 1 0 1 1
1573 176 48 3.8 1 0 1 0
3063 176 45 21.1 1 0 1 0
985 154 48 2 0 1 1 0
1732 165 50 0.7 0 1 1 1
1442 180 47 1.8 1 0 1 0
5953 182 57 31.9 1 0 1 1
1668 163 24 2.8 0 1 1 0
2743 180 34 2.4 1 0 1 0
4646 186 53 22.6 1 0 1 0
1027 158 29 0.9 1 1 0 0
3497 182 62 32.6 1 0 1 0
2856 164 45 22.3 0 1 1 1
2651 182 31 1.6 0 0 1 1
2156 185 32 6.4 1 0 1 1
2831 180 32 1.6 1 0 0 0
2490 182 55 32.5 1 0 1 0
2186 178 42 17.9 1 0 1 0
1405 168 24 5 0 1 1 0
2186 170 30 3.7 1 0 1 0
1596 170 34 9.9 1 1 1 0
2385 180 38 18 1 0 1 0
2787 173 45 20.6 1 0 1 0
1020 170 46 3.7 1 1 1 0
2583 187 26 1.8 0 0 1 0
4280 184 44 10.3 1 0 1 1
1723 172 58 2.3 1 0 0 0
1619 165 47 1.1 0 1 1 0
2198 172 40 18.4 1 1 1 1
2422 176 39 23.5 0 0 1 0
1659 160 51 8.8 1 1 1 0
2304 174 54 11.3 1 1 1 0
2627 187 39 5.5 0 0 1 0
1926 165 40 9.5 1 1 1 1
1744 160 42 6.8 1 0 1 0
1991 165 47 3.2 0 1 1 0
2637 178 40 21.3 1 0 1 0
2403 174 50 15.8 0 1 1 0
2719 183 30 9 0 0 1 0
2038 165 23 2 0 1 1 0
3048 174 26 0.1 0 1 1 1
2008 170 60 30.1 1 1 1 0
1922 168 42 8.6 0 0 1 0
2730 188 26 6 0 0 1 1
2028 170 61 5.3 1 0 1 0
1422 167 37 10.3 0 1 1 1
6127 176 48 0.8 1 0 1 1
1818 169 47 28.9 1 1 1 0
1293 150 56 10.5 1 1 1 1
2051 185 32 10.8 1 0 1 0
3392 178 36 2.1 0 0 0 0
2936 178 23 2 0 0 1 0
764 178 31 2.8 0 0 1 1
2102 175 32 1.3 1 0 1 0
1946 178 47 25.8 1 0 1 0
4970 192 49 17.3 0 0 1 0
1582 178 44 1.3 1 0 1 0
1995 166 42 18.1 1 0 1 0
2237 172 41 9.9 1 1 1 1
3180 170 41 23 1 0 1 0
1544 178 42 3.9 0 0 1 0
2758 180 30 3.6 1 1 1 1
4986 178 62 27 1 0 1 0
2420 180 45 7.8 1 0 1 0
1065 172 38 16 1 1 1 0
940 162 55 10.6 0 1 1 0
4071 190 63 28.6 1 0 1 0
1251 168 25 1.4 0 1 1 1
1971 163 48 16.8 1 1 1 1
2630 183 35 18.5 1 0 1 0
2313 175 21 1.5 0 0 1 0
1575 196 21 2 0 0 1 0
2837 168 45 8.3 1 1 1 1
3962 180 36 16.3 1 0 1 1
1268 160 22 2.9 0 1 1 0
2460 184 27 3 0 0 1 1
1661 169 38 6.8 1 1 1 0
632 180 34 14 1 1 1 0
1848 175 34 2 1 0 1 0
2008 160 28 6 1 1 1 1
2387 183 53 5.9 0 0 1 0
1830 168 51 29.8 1 1 1 0
2439 193 34 10.4 1 0 1 1
1375 158 50 31 0 1 1 0
2784 168 61 32.9 1 1 1 1
3755 185 34 1.1 1 0 1 1
1699 189 36 1.1 0 0 1 1
2619 180 53 25.6 0 0 1 0
2382 185 38 5.4 1 0 1 0
3893 178 61 9.8 1 0 1 1
3467 158 59 10.7 0 1 1 1
2738 179 39 4.5 1 0 1 0
1057 181 49 27 1 0 1 0
1930 188 29 2.4 0 0 1 0
2069 173 36 16.5 1 1 1 0
1256 165 29 1.7 0 0 1 0
2792 156 42 12.3 0 1 1 0
2190 173 30 2.7 0 0 1 0
2110 183 28 3.4 1 0 1 0
3560 172 52 8.8 1 0 1 1
1077 168 50 3 1 1 1 0
2777 175 50 32 1 0 1 0
1400 168 48 2.8 1 1 1 0
2398 175 45 10.8 1 0 1 0
2654 185 33 14 0 0 1 0
1909 178 29 9 0 1 1 0
4004 176 52 15.8 0 1 1 1
1255 168 45 0.6 1 1 1 0
1303 167 33 0.3 0 1 1 0
2510 183 38 13.4 0 0 1 0
2782 176 37 7.7 1 0 0 0
1950 178 37 5.4 0 0 1 0
1466 165 26 2 0 1 1 0
4646 191 35 5.7 1 0 1 1
1761 175 33 9.4 1 0 1 0
3147 178 43 23.5 1 0 0 0
1418 162 58 2.4 0 1 1 0
